schema_version,reactflow_delta.audit.evidence_registry.v1
generated_at,2026-08-20 (Asia/Shanghai)
reference_audit,提示词/ReactFlow_Delta_strict_scientific_engineering_audit_20260817.md
remote_snapshot_head,bf45996ef74220de33ae2e41bdf4bdc1acb4c965 (new branch codex/reactflow-delta-model-rescue-v1-20260820 created from predecessor; focused M0 commit pending)
note,"The 20-puzzle outcomes and both existing external study clusters are development-consumed. New method work is post-hoc development until a newly sealed external gate passes."

phase,artifact,code_ref,result_path,authority,eligibility,invalid_reason_or_qualification
P2,run_p2_direct_v2.py,p2_direct_v2_result_20260813.json,spec contract 9.1/10.2,DEVELOPMENT_ONLY,"inner split direction reversed; inner selection on edit-site CRPS only; held scoring fixed scale 0.3 not train-only; nonlinear/flat_mlp/rfd_direct aliases shared one object; zero==train_median"
P3,run_p3_lrso_v1.py / v2,p3_lrso_v2_result_20260813.json,contract 10.2/14.1,INVALID,"WT encoder detach()ed; missing mutant target 0-filled then treated observable; 6-12 fixed epochs; single seed; no inner validation"
P3,run_p3_lrso_v3.py,p3_lrso_v3_result_20260815.json,contract 10.2/9.1,DEVELOPMENT_ONLY,"no K_rank=0; full ~110k-param network w/ learned scale + Student-t + 5-seed mixture vs fixed-scale 0.3 ridge; target-qualified mask entered predictor (pre-P0-5); global HP trace incomplete"
P2-v3,run_p2_v3.py,/mnt/cunyuliu/prospective_v2_p2v3_sharded/p2_v3_scores_merged.json,model-rescue evidence baseline,POST_HOC_DEVELOPMENT_COMPLETE,"20-fold method-balanced evaluator; distinct fast baselines; rank0 and inner-selected positive rank share cfg/epochs/5 seeds; Direct ridge vs WT +0.02677; rank0 vs ridge +0.01526; selected-rank vs rank0 +0.00180"
P2-v3 OOF,run_p2_v3.py,/mnt/cunyuliu/prospective_v2_p2v3_sharded/shard_gpu*/p2_v3_oof_predictions_*.npz,model-rescue evidence baseline,CURRENT_PROTOCOL_ARTIFACT,"40 prediction-only ledgers (rank0/rank-positive x 20 folds); target is excluded from NPZ schema"
P4,build_p4_external_components_v1 / manifest,external component manifest,audit §2.1/§4.2,UNKNOWN_NOT_ASSERTED,"components are WT anchors (3 dataset files); publication/study/batch independence not resolvable from manifest; n=505 t-CI overstates precision"
P5,run_p5_mechanism_v1.py,P5 result,audit §2.1,MECHANISM_NOT_ESTABLISHED,"per-set verdict kept honestly; direct-model distance-band skill is not biophysical propagation mechanism"
P5b,run_p5b_mechanism_v1.py,P5b result,audit §2.1,MECHANISM_NOT_ESTABLISHED,"negative control failed (shrinkage-to-mean residual from wt_r feature); per-set verdict kept honestly"
P5 combined,make_p5_combined_artifacts_v1.py,combined result,audit §2.1,EXPLORATORY_POST_HOC,"NEGLIGIBLE_RESIDUAL_FRACTION=0.20 introduced only after failure (commit 497880b); combined verdict cannot support mechanism PASS"
P0-2,evaluator_v2.py + test_estimand_v2.py,(tests only),audit §13 P0-2,CURRENT_PROTOCOL_PASS,"frozen method-balanced estimand (position->mutant->cell->method->puzzle); hand-computed fixtures verify method-balanced!=pooled, key exact pairing, missing!=0; 5/5 tests pass"
P0-3,baseline_v1.py + test_distinct_baselines_v2.py,(tests only),audit §13 P0-3,CURRENT_PROTOCOL_PASS,"genuinely distinct ZeroResponse/TrainMedian/RidgeDirect/NonlinearDirect/RFDDirectRank0; object-identity + prediction-difference tests; RFDDirectRank0 disables low-rank term; 5/5 tests pass"
P0-5,run_p3_lrso_v3.py (held path fix),(code + tests),audit §13 P0-5,CURRENT_PROTOCOL_PASS,"held/inner scoring now passes WT-observed mask ONLY to forward_op; target-qualified mask used exclusively for scoring; target-invariance structural + behavioral tests added"
P0-2/3/5/7,run_p2_v3.py + test_run_p2_v3.py,/mnt/cunyuliu/prospective_v2_p2v3_sharded,audit §13 P0-2/3/5/7,POST_HOC_DEVELOPMENT_COMPLETE,"unified protocol completed all 20 folds; keyed OOF prediction ledgers contain no target; scientific scope remains development-consumed"
P4 qualification,joint_dependency_component_v1.py,docs/prospective_v2/audit/external_qualification_v1.md,model-rescue external gate,NOT_CONFIRMATORY,"7 dataset files/718 WT anchors collapse to K_joint=2 study clusters; anchor/SNV/position/seed counts do not increase independent N"
P4 corrected final LRSO,run_p4_external_lrso_v1.py,docs/prospective_v2/audit/p4_external_lrso_result_v1.json,model-rescue external gate,EXPLORATORY_REPLICATION_FAIL,"seqpos-correct final rank2 five-seed LRSO; SL5 effect approximately zero and Ribonanza positive; cluster CI crosses zero; no consistent study-level replication"
schema,prediction_v3.py,(schema only),audit §13 P0-5,CURRENT_PROTOCOL,"prediction rows carry biological_scoring_key+model+seed, positive scale, family, df, mixture_weight; validator structural only"
